entry_date,expiry_date,S_entry,S_exit,short_call_k,short_put_k,long_put_k,asym_credit,asym_pnl,put_wing_cost,vol_tercile,net_pnl_illustrative,net_pnl_calibrated
2024-12-27,2025-01-02,23813.4,24188.65,24150,23550,23300,62.300000000000004,23.64999999999855,14.4,Mid,22.30397999999855,21.083979999998547
2025-01-03,2025-01-09,24004.75,23526.5,24350,23700,23400,75.19999999999999,-98.30000000000001,14.25,Mid,-99.65367,-100.87367
2025-01-10,2025-01-16,23431.5,23311.8,23800,23100,22800,68.45,68.45,17.95,High,67.09816000000001,65.87816000000001
2025-01-17,2025-01-23,23203.2,23205.35,23550,22850,22550,78.3,78.3,16.45,Mid,76.94315,75.72315
2025-01-24,2025-01-30,23092.2,23249.5,23450,22750,22450,79.55,79.55,15.8,Mid,78.19279,76.97279
2025-02-01,2025-02-06,23482.15,23603.35,23800,23200,22900,68.65,68.65,16.85,Mid,67.29870000000001,66.07870000000001
2025-02-07,2025-02-13,23559.95,23031.4,23900,23250,23000,69.4,-149.19999999999854,14.1,Mid,-150.55009999999854,-151.77009999999854
2025-02-14,2025-02-20,22929.25,22913.15,23300,22600,22300,76.55,76.55,15.8,Mid,75.19458999999999,73.97458999999999
2025-02-20,2025-02-27,22913.15,22545.05,23250,22600,22300,84.25,29.299999999999272,17.0,Mid,27.939249999999273,26.71924999999927
2025-02-28,2025-03-06,22124.7,22544.7,22450,21850,21600,69.3,-25.400000000000727,14.95,Low,-26.75055000000073,-27.970550000000728
2025-03-07,2025-03-13,22552.5,22397.2,22850,22250,22000,57.9,57.9,14.4,Low,56.556619999999995,55.336619999999996
2025-03-13,2025-03-20,22397.2,23190.65,22700,22100,21850,56.35,-434.3000000000015,13.85,Low,-435.6421200000015,-436.8621200000015
2025-03-21,2025-03-27,23350.4,23591.95,23650,23100,22850,52.24999999999999,52.24999999999999,14.85,Mid,50.90973999999999,49.68973999999999
2025-03-27,2025-04-03,23591.95,23250.1,24000,23300,23000,81.05,31.14999999999854,17.55,Mid,29.79083999999854,28.57083999999854
2025-04-03,2025-04-09,23250.1,22399.15,23600,22900,22600,69.25,-230.75,17.0,Mid,-232.10175,-233.32175
2025-04-09,2025-04-17,22399.15,23851.65,23050,21700,20900,135.7,-665.9500000000014,41.3,High,-667.3562000000014,-668.5762000000014
2025-04-17,2025-04-24,23851.65,24246.7,24250,23400,22950,84.4,84.4,27.35,High,83.03295,81.81295
2025-04-24,2025-04-30,24246.7,24334.2,24650,23800,23350,92.65,92.65,25.4,High,91.27917000000001,90.05917000000001
2025-05-02,2025-05-08,24346.7,24273.8,24650,23900,23400,73.45,73.45,26.55,High,72.09,70.87
2025-05-09,2025-05-15,24008.0,25062.1,24450,23400,22600,105.15,-506.9499999999985,39.15,High,-508.3365799999985,-509.5565799999985
2025-05-16,2025-05-22,25019.8,24609.7,25400,24600,24200,85.7,85.7,21.2,High,84.33586,83.11586
2025-05-23,2025-05-29,24853.15,24833.6,25300,24450,24050,93.69999999999999,93.69999999999999,22.4,High,92.33033999999999,91.11034
2025-05-30,2025-06-05,24750.7,24750.9,25200,24350,24050,97.35,97.35,20.95,High,95.97901999999999,94.75901999999999
2025-06-06,2025-06-12,25003.05,24888.2,25350,24650,24350,79.85,79.85,19.65,High,78.49029999999999,77.27029999999999
2025-06-13,2025-06-19,24718.6,24793.25,25100,24300,23850,80.65,80.65,25.3,Low,79.28643000000001,78.06643000000001
2025-06-20,2025-06-26,25112.4,25549.0,25450,24750,24300,67.4,-31.599999999999998,23.05,Low,-32.95427,-34.17427
2025-06-27,2025-07-03,25637.8,25405.3,25950,25350,25050,62.3,62.3,17.95,Low,60.95185,59.731849999999994
2025-07-04,2025-07-10,25461.0,25355.25,25800,25200,24900,63.85,63.85,15.35,Low,62.50248,61.28248
2025-07-11,2025-07-17,25149.85,25111.45,25450,24900,24650,57.75,57.75,15.3,Low,56.40617,55.18617
2025-07-18,2025-07-24,24968.4,25062.1,25300,24700,24450,57.99999999999999,57.99999999999999,14.85,Low,56.65628999999999,55.43628999999999
2025-07-25,2025-07-31,24837.0,24768.35,25150,24600,24350,56.6,56.6,14.6,Low,55.25728,54.03728
2025-08-01,2025-08-07,24565.35,24596.15,24900,24250,23950,69.6,69.6,16.25,Low,68.24848999999999,67.02848999999999
2025-08-08,2025-08-14,24363.3,24631.3,24700,24100,23850,56.7,56.7,14.8,Low,55.3571,54.137100000000004
2025-08-14,2025-08-21,24631.3,25083.75,24950,24350,24000,72.05000000000001,-61.699999999999996,15.85,Low,-63.05273999999999,-64.27274
2025-08-21,2025-08-28,25083.75,24500.9,25350,24850,24600,61.75000000000001,-188.25,13.4,Low,-189.59509,-190.81509
2025-08-26,2025-09-02,24712.05,24579.6,25050,24450,24150,60.79999999999999,60.79999999999999,16.65,Low,59.453529999999986,58.23352999999999
2025-09-03,2025-09-09,24715.05,24868.6,24950,24500,24250,57.59999999999999,57.59999999999999,12.6,Low,56.257879999999986,55.03787999999999
2025-09-10,2025-09-16,24973.1,25239.1,25250,24750,24550,48.8,48.8,12.6,Low,47.463159999999995,46.243159999999996
2025-09-17,2025-09-23,25330.25,25169.5,25600,25100,24900,49.05,49.05,12.3,Low,47.71319,46.49319
2025-09-24,2025-09-30,25056.9,24611.1,25350,24850,24650,43.9,-156.1,9.6,Low,-157.4321,-158.6521
2025-09-30,2025-10-07,24611.1,25108.3,24950,24350,24150,52.14999999999999,-106.14999999999928,14.2,Low,-107.48980999999928,-108.70980999999928
2025-10-08,2025-10-14,25046.15,25145.5,25300,24850,24650,48.300000000000004,48.300000000000004,11.65,Low,46.96403,45.74403
2025-10-14,2025-10-20,25145.5,25843.15,25450,24850,24550,67.75000000000001,-325.40000000000146,15.3,Low,-326.74983000000145,-327.9698300000015
2025-10-21,2025-10-28,25868.6,25936.2,26150,25600,25350,60.150000000000006,60.150000000000006,16.05,Low,58.804280000000006,57.58428000000001
2025-10-29,2025-11-04,26053.9,25597.65,26450,25800,25550,65.05,-137.29999999999853,14.95,Low,-138.64799999999855,-139.86799999999855
2025-11-04,2025-11-11,25597.65,25694.95,25950,25300,25050,60.3,60.3,16.3,Low,58.95404,57.73404
2025-11-12,2025-11-18,25875.8,25910.05,26200,25600,25300,60.3,60.3,14.55,Low,58.95509,57.73509
2025-11-19,2025-11-25,26052.65,25884.8,26350,25750,25500,68.0,68.0,16.3,Low,66.64942,65.42942
2025-11-26,2025-12-02,26205.3,26032.2,26500,25950,25650,65.55000000000001,65.55000000000001,13.85,Low,64.20236000000001,62.982360000000014
2025-12-03,2025-12-09,25986.0,25839.65,26300,25750,25550,52.699999999999996,52.699999999999996,11.9,Low,51.361239999999995,50.141239999999996
2025-12-10,2025-12-16,25758.0,25860.1,26050,25500,25250,65.10000000000001,65.10000000000001,12.2,Low,63.753620000000005,62.533620000000006
2025-12-17,2025-12-23,25818.55,26177.15,26100,25600,25400,55.849999999999994,-21.30000000000146,9.75,Low,-22.63936000000146,-23.85936000000146
2025-12-23,2025-12-30,26177.15,25938.85,26450,25950,25700,49.0,37.849999999998545,11.75,Low,36.513549999998546,35.29354999999855
2025-12-31,2026-01-06,26129.6,26178.7,26350,25950,25750,52.10000000000001,52.10000000000001,9.95,Low,50.76277000000001,49.54277000000001
2026-01-07,2026-01-13,26140.75,25732.3,26350,25950,25800,47.050000000000004,-102.95000000000002,10.9,Low,-104.28477000000002,-105.50477000000002
2026-01-13,2026-01-20,25732.3,25232.5,26050,25450,25150,64.05,-153.45,16.2,Low,-154.79815,-156.01815
2026-01-20,2026-01-27,25232.5,25175.4,25600,24900,24500,81.9,81.9,20.65,Low,80.53847,79.31847
2026-01-29,2026-02-03,25418.9,25727.55,25850,25000,24650,82.5,82.5,21.25,Mid,81.13775,79.91775
2026-02-04,2026-02-10,25776.0,25935.15,26150,25400,25000,73.69999999999999,73.69999999999999,20.85,High,72.34326999999999,71.12326999999999
2026-02-11,2026-02-17,25953.85,25725.4,26250,25700,25400,53.550000000000004,53.550000000000004,16.6,High,52.207910000000005,50.98791000000001
2026-02-18,2026-02-24,25819.35,25424.65,26100,25500,25150,57.89999999999999,-17.44999999999855,17.45,High,-18.79520999999855,-20.01520999999855
2026-02-24,2026-03-02,25424.65,24865.7,25850,25050,24700,77.95,-106.34999999999927,21.5,High,-107.70966999999926,-108.92966999999928
2026-03-04,2026-03-10,24473.95,24286.15,25050,23700,23250,156.9,156.9,28.5,Mid,155.48876,154.26876000000001
2026-03-11,2026-03-17,23848.2,23558.8,24450,23150,22550,133.09999999999997,133.09999999999997,37.05,High,131.69790999999998,130.47790999999995
2026-03-18,2026-03-24,23764.1,22958.4,24200,23250,22700,94.45,-197.14999999999856,30.25,High,-198.52481999999856,-199.74481999999855
2026-03-23,2026-03-30,22492.65,22379.2,23350,21500,20850,173.59999999999997,173.59999999999997,65.55,High,172.15650999999997,170.93650999999997
2026-03-30,2026-04-07,22379.2,23129.95,23200,21500,21400,185.5,185.5,26.65,High,184.07271,182.85271
2026-04-07,2026-04-13,23129.95,23818.9,23800,22350,21650,157.54999999999998,138.64999999999853,41.9,High,137.23032999999853,136.01032999999853
2026-04-15,2026-04-21,24211.9,24580.6,24650,23700,23300,99.95,99.95,27.3,High,98.57365,97.35365
2026-04-22,2026-04-28,24367.65,24016.5,24850,23900,23550,94.95000000000002,94.95000000000002,23.6,High,93.57887000000002,92.35887000000001
2026-04-28,2026-05-05,24016.5,24052.15,24500,23550,23200,92.0,92.0,20.8,High,90.63231999999999,89.41232
