date,front_expiry,next_expiry,spot,atm_strike,front_iv,next_iv,next_minus_front,z_score
2024-12-26,2025-01-02,2025-01-09,23750.2,23750,0.1397755397477245,0.14038456230442614,0.0006,
2024-12-27,2025-01-02,2025-01-09,23813.4,23800,0.11782503014598623,0.1265955799384211,0.0088,
2024-12-30,2025-01-02,2025-01-09,23644.9,23650,0.15550633881201803,0.14026027001003014,-0.0152,
2024-12-31,2025-01-02,2025-01-09,23644.8,23650,0.19334489245564285,0.1553717775867801,-0.038,
2025-01-01,2025-01-02,2025-01-09,23742.9,23750,0.23858479239149893,0.16262991555288858,-0.076,
2025-01-02,2025-01-09,2025-01-16,24188.65,24200,0.13687806140732653,0.13488223586696899,-0.002,
2025-01-03,2025-01-09,2025-01-16,24004.75,24000,0.12625211616600748,0.13056365391238142,0.0043,
2025-01-06,2025-01-09,2025-01-16,23616.05,23600,0.22129947548027276,0.1806434397634764,-0.0407,
2025-01-07,2025-01-09,2025-01-16,23707.9,23700,0.1659104984828073,0.14974052831117146,-0.0162,
2025-01-08,2025-01-09,2025-01-16,23688.95,23700,0.13688125343312188,0.13698356136513376,0.0001,
2025-01-09,2025-01-16,2025-01-23,23526.5,23550,0.13889654660219514,0.1408708760253091,0.002,0.766
2025-01-10,2025-01-16,2025-01-23,23431.5,23450,0.12962125302838595,0.13953292900638636,0.0099,1.068
2025-01-13,2025-01-16,2025-01-23,23085.95,23100,0.16116645947427444,0.15679678049066487,-0.0044,0.5
2025-01-14,2025-01-16,2025-01-23,23176.05,23200,0.13068874614393508,0.1391611911445067,0.0085,0.951
2025-01-15,2025-01-16,2025-01-23,23213.2,23200,0.11634897881573691,0.13210448453466211,0.0158,1.061
2025-01-16,2025-01-23,2025-01-30,23311.8,23300,0.1507158509306321,0.14490377376693261,-0.0058,-0.231
2025-01-17,2025-01-23,2025-01-30,23203.2,23200,0.14006050668112338,0.14263640031956032,0.0026,0.343
2025-01-20,2025-01-23,2025-01-30,23344.75,23350,0.16266370376765416,0.1512210907409991,-0.0114,-0.563
2025-01-21,2025-01-23,2025-01-30,23024.65,23000,0.18898020320651604,0.1634348523878502,-0.0255,-2.736
2025-01-22,2025-01-23,2025-01-30,23155.35,23150,0.12749496542665814,0.14107304244214594,0.0136,1.286
2025-01-23,2025-01-30,2025-02-06,23205.35,23200,0.14667458190640037,0.1890744464837278,0.0424,3.482
2025-01-24,2025-01-30,2025-02-06,23092.2,23100,0.14086023681296617,0.1889229638913928,0.0481,2.499
2025-01-27,2025-01-30,2025-02-06,22829.15,22850,0.18888483156637192,0.2181715310194572,0.0293,0.959
2025-01-28,2025-01-30,2025-02-06,22957.25,22950,0.20397501481049593,0.22961144253040727,0.0256,0.624
2025-01-29,2025-01-30,2025-02-06,23163.1,23150,0.30825725642539537,0.2547632553428241,-0.0535,-2.975
2025-01-30,2025-02-06,2025-02-13,23249.5,23250,0.24447564475078024,0.20601275715668446,-0.0385,-1.496
2025-01-31,2025-02-06,2025-02-13,23508.4,23500,0.2026584943037279,0.1773824890630157,-0.0253,-0.868
2025-02-01,2025-02-06,2025-02-13,23482.15,23500,0.12819182625820902,0.1349198450704881,0.0067,0.183
2025-02-03,2025-02-06,2025-02-13,23361.05,23350,0.13554122915798375,0.1421602913071317,0.0066,0.127
2025-02-04,2025-02-06,2025-02-13,23739.25,23750,0.13136278883772326,0.13448264297909757,0.0031,-0.074
2025-02-05,2025-02-06,2025-02-13,23696.3,23700,0.14884457215909908,0.13910260674497557,-0.0097,-0.436
2025-02-06,2025-02-13,2025-02-20,23603.35,23600,0.14440073270903353,0.13665730806810672,-0.0077,-0.231
2025-02-07,2025-02-13,2025-02-20,23559.95,23550,0.12527382661087227,0.13029187610296306,0.005,0.45
2025-02-10,2025-02-13,2025-02-20,23381.6,23400,0.16444302339518696,0.14388079699840844,-0.0206,-0.521
2025-02-11,2025-02-13,2025-02-20,23071.8,23050,0.17063538265612527,0.15105646295241154,-0.0196,-0.315
2025-02-12,2025-02-13,2025-02-20,23045.25,23050,0.17299454100988587,0.14617522962139323,-0.0268,-1.131
