date,open,high,low,close,volume,oi
2024-11-01T00:00:00+05:30,24394,24418.5,24301,24317,0,0
2024-11-04T00:00:00+05:30,24225.5,24357.5,23881,24092.5,0,0
2024-11-05T00:00:00+05:30,24092.5,24328.5,23979,24298.5,0,0
2024-11-06T00:00:00+05:30,24298.5,24665,24209.5,24492.5,0,0
2024-11-07T00:00:00+05:30,24492.5,24557,24203,24332,0,0
2024-11-08T00:00:00+05:30,24331.5,24378,24105.5,24117,0,0
2024-11-11T00:00:00+05:30,24117,24428,24085,24226,0,0
2024-11-12T00:00:00+05:30,24226,24312,23855.5,23872.5,0,0
2024-11-13T00:00:00+05:30,23872.5,23938,23595,23666.5,0,0
2024-11-14T00:00:00+05:30,23666.5,23752.5,23559,23665.5,0,0
2024-11-15T00:00:00+05:30,23650,23677,23404,23445.5,0,0
2024-11-18T00:00:00+05:30,23486,23635,23382.5,23537.5,0,0
2024-11-19T00:00:00+05:30,23537.5,23850,23480,23634.5,0,0
2024-11-20T00:00:00+05:30,23634.5,23744,23604.5,23659.5,0,0
2024-11-21T00:00:00+05:30,23659.5,23659.5,23276.5,23457.5,0,0
2024-11-22T00:00:00+05:30,23457.5,24050,23380,24042.5,0,0
2024-11-25T00:00:00+05:30,24129.5,24381.5,24126.5,24347.5,0,0
2024-11-26T00:00:00+05:30,24347.5,24381.5,24138,24255.5,0,0
2024-11-27T00:00:00+05:30,24255.5,24386,24159,24324,0,0
2024-11-28T00:00:00+05:30,24324,24532.5,23837,24153,0,0
2024-11-29T00:00:00+05:30,24156.5,24442.5,24108,24395,0,0
2024-12-02T00:00:00+05:30,24411.5,24480.5,24172.5,24419.5,0,0
2024-12-03T00:00:00+05:30,24493,24594,24393.5,24514.5,0,0
2024-12-04T00:00:00+05:30,24514.5,24664.5,24435.5,24515,0,0
2024-12-05T00:00:00+05:30,24489,24930.5,24383.5,24820,0,0
2024-12-06T00:00:00+05:30,24812.5,24845.5,24693.5,24728.5,0,0
2024-12-09T00:00:00+05:30,24739.5,24820.5,24648,24724,0,0
2024-12-10T00:00:00+05:30,24724,24761.5,24592.5,24654,0,0
2024-12-11T00:00:00+05:30,24654,24791.5,24651.5,24750,0,0
2024-12-12T00:00:00+05:30,24750,24766,24528.5,24543.5,0,0
2024-12-13T00:00:00+05:30,24537.5,24885,24216,24777.5,0,0
2024-12-16T00:00:00+05:30,24777.5,24825.5,24648.5,24705,0,0
2024-12-17T00:00:00+05:30,24705,24705,24310,24352.5,0,0
2024-12-18T00:00:00+05:30,24351.5,24450,23847.5,23871,0,0
2024-12-19T00:00:00+05:30,23885.5,24070.5,23851,23958.5,0,0
2024-12-20T00:00:00+05:30,23958.5,24073,23561.5,23769,0,0
2024-12-23T00:00:00+05:30,23769,23898.5,23655.5,23800,0,0
2024-12-24T00:00:00+05:30,23800,23880.5,23713.5,23855,0,0
2024-12-25T00:00:00+05:30,23855,23889,23804.5,23816,0,0
2024-12-26T00:00:00+05:30,23816,24025,23637.5,23934.5,0,0
2024-12-27T00:00:00+05:30,23950.5,24110.5,23900,23962.5,0,0
2024-12-30T00:00:00+05:30,23962.5,24051,23644,23686,0,0
2024-12-31T00:00:00+05:30,23686,23827.5,23572.5,23734.5,0,0
2025-01-01T00:00:00+05:30,23734.5,23936.5,23680,23885.5,0,0
2025-01-02T00:00:00+05:30,23885.5,24306,23795,24158.5,0,0
2025-01-03T00:00:00+05:30,24158.5,24242.5,24016,24098.5,0,0
2025-01-06T00:00:00+05:30,24098.5,24149,23645,23772.5,0,0
2025-01-07T00:00:00+05:30,23772.5,23875.5,23672,23703,0,0
2025-01-08T00:00:00+05:30,23703,23828.5,23585,23720,0,0
2025-01-09T00:00:00+05:30,23720,23731,23565.5,23594.5,0,0
2025-01-10T00:00:00+05:30,23504,23670,23280.5,23323.5,0,0
2025-01-13T00:00:00+05:30,23329.5,23394,23095.5,23263,0,0
2025-01-14T00:00:00+05:30,23263,23346.5,23192.5,23300.5,0,0
2025-01-15T00:00:00+05:30,23300.5,23420.5,23193.5,23390,0,0
2025-01-16T00:00:00+05:30,23390,23449.5,23305,23323.5,0,0
