date,open,high,low,close,volume,oi
2024-11-01T00:00:00+05:30,15.55,16.13,13.63,15.9,0,0
2024-11-04T00:00:00+05:30,15.9,17.6,14.78,16.69,0,0
2024-11-05T00:00:00+05:30,16.69,19.02,15.8,16.12,0,0
2024-11-06T00:00:00+05:30,16.12,20.75,14.71,14.87,0,0
2024-11-07T00:00:00+05:30,14.87,15.52,14.27,14.94,0,0
2024-11-08T00:00:00+05:30,14.94,15.73,14.39,14.47,0,0
2024-11-11T00:00:00+05:30,14.47,15.47,13.12,14.27,0,0
2024-11-12T00:00:00+05:30,14.27,14.84,12.74,14.59,0,0
2024-11-13T00:00:00+05:30,14.59,15.87,13.93,15.44,0,0
2024-11-14T00:00:00+05:30,15.44,15.69,13.41,14.78,0,0
2024-11-18T00:00:00+05:30,14.78,16.58,13.76,15.17,0,0
2024-11-19T00:00:00+05:30,15.17,16.18,12.73,15.66,0,0
2024-11-21T00:00:00+05:30,15.66,16.78,14.84,15.99,0,0
2024-11-22T00:00:00+05:30,15.99,18.67,12.75,16.1,0,0
2024-11-25T00:00:00+05:30,16.1,16.86,13.63,15.3,0,0
2024-11-26T00:00:00+05:30,15.3,16.26,13.87,15.31,0,0
2024-11-27T00:00:00+05:30,15.31,15.31,13.25,14.63,0,0
2024-11-28T00:00:00+05:30,14.63,15.56,14.27,15.21,0,0
2024-11-29T00:00:00+05:30,15.21,15.46,14.33,14.43,0,0
2024-12-02T00:00:00+05:30,14.43,15.08,13.31,14.7,0,0
2024-12-03T00:00:00+05:30,14.7,14.89,14.24,14.37,0,0
2024-12-04T00:00:00+05:30,14.37,14.8,14.11,14.45,0,0
2024-12-05T00:00:00+05:30,14.45,15.71,14.06,14.53,0,0
2024-12-06T00:00:00+05:30,14.53,15.02,14.05,14.14,0,0
2024-12-09T00:00:00+05:30,14.14,14.64,13.45,14.11,0,0
2024-12-10T00:00:00+05:30,14.11,14.67,13.7,13.78,0,0
2024-12-11T00:00:00+05:30,13.78,14.11,13.18,13.27,0,0
2024-12-12T00:00:00+05:30,13.27,13.4,12.95,13.19,0,0
2024-12-13T00:00:00+05:30,13.19,14.72,12.47,13.05,0,0
2024-12-16T00:00:00+05:30,13.05,14.51,13.05,14.02,0,0
2024-12-17T00:00:00+05:30,14.02,14.98,13.18,14.49,0,0
2024-12-18T00:00:00+05:30,14.49,15.24,14.27,14.37,0,0
2024-12-19T00:00:00+05:30,14.37,15.44,13.87,14.51,0,0
2024-12-20T00:00:00+05:30,14.51,15.55,14.4,15.07,0,0
2024-12-23T00:00:00+05:30,15.07,16.88,13.42,13.52,0,0
2024-12-24T00:00:00+05:30,13.52,15.03,12.98,13.18,0,0
2024-12-26T00:00:00+05:30,13.18,14.39,13.08,14.04,0,0
2024-12-27T00:00:00+05:30,14.04,14.24,13.04,13.24,0,0
2024-12-30T00:00:00+05:30,13.24,14.37,13.24,13.97,0,0
2024-12-31T00:00:00+05:30,13.97,14.64,13.97,14.45,0,0
2025-01-01T00:00:00+05:30,14.45,14.84,14.31,14.51,0,0
2025-01-02T00:00:00+05:30,14.51,14.8,13.63,13.74,0,0
2025-01-03T00:00:00+05:30,13.74,13.98,13.23,13.54,0,0
2025-01-06T00:00:00+05:30,13.54,15.92,13.54,15.65,0,0
2025-01-07T00:00:00+05:30,15.65,15.65,14.35,14.66,0,0
2025-01-08T00:00:00+05:30,14.66,14.88,14.1,14.47,0,0
2025-01-09T00:00:00+05:30,14.47,14.89,13.75,14.66,0,0
2025-01-10T00:00:00+05:30,14.66,15.52,14.66,14.92,0,0
2025-01-13T00:00:00+05:30,14.92,16.18,14.45,16,0,0
2025-01-14T00:00:00+05:30,16,16,15.12,15.47,0,0
2025-01-15T00:00:00+05:30,15.47,15.66,15.2,15.26,0,0
