pattern,n,p_down_next,entropy
"(0, 1, 1, 0)",24,0.6666666666666667,0.9182958340544896
"(0, 0, 1, 1)",29,0.3448275862068966,0.9293636260137187
"(1, 0, 0, 1)",28,0.6428571428571428,0.9402859586706311
"(1, 1, 1, 1)",62,0.3709677419354839,0.9514122535330207
"(0, 0, 1, 0)",35,0.4,0.9709505944546686
"(0, 0, 0, 0)",42,0.5952380952380952,0.9736680645496201
"(0, 1, 1, 1)",39,0.41025641025641024,0.97663491144401
"(1, 0, 1, 1)",34,0.4117647058823529,0.9774178175281716
"(0, 1, 0, 0)",29,0.5862068965517242,0.9784493292686189
"(1, 1, 0, 1)",29,0.5517241379310345,0.9922666387194963
"(1, 0, 1, 0)",33,0.4545454545454546,0.9940302114769565
"(0, 0, 0, 1)",35,0.4571428571428572,0.9946937953613058
"(0, 1, 0, 1)",39,0.46153846153846156,0.9957274520849255
"(1, 1, 1, 0)",39,0.46153846153846156,0.9957274520849255
"(1, 1, 0, 0)",34,0.5294117647058824,0.9975025463691152
"(1, 0, 0, 0)",35,0.48571428571428577,0.9994110647387552
