date,open,high,low,close,volume,oi
2024-11-01T00:00:00+05:30,24419.95,24419.95,24326.25,24383.65,1185275,0
2024-11-04T00:00:00+05:30,24379.8,24379.8,23900.2,24114.65,7947975,0
2024-11-05T00:00:00+05:30,24074.5,24320,23980.25,24295.45,6265400,0
2024-11-06T00:00:00+05:30,24367,24665,24265.55,24587.1,7669325,0
2024-11-07T00:00:00+05:30,24549,24567.45,24280.2,24300.5,6011300,0
2024-11-08T00:00:00+05:30,24334,24415,24155.45,24219.85,4930625,0
2024-11-11T00:00:00+05:30,24150,24434,24092.6,24226.3,5941275,0
2024-11-12T00:00:00+05:30,24266.85,24315,23921.5,23959.6,5251200,0
2024-11-13T00:00:00+05:30,23889,23945,23605,23658.55,6660975,0
2024-11-14T00:00:00+05:30,23649,23756.9,23561.5,23601.7,5672800,0
2024-11-18T00:00:00+05:30,23599.9,23644.95,23390.05,23513.95,5837225,0
2024-11-19T00:00:00+05:30,23600.2,23844,23485.1,23534.8,7311425,0
2024-11-21T00:00:00+05:30,23460.95,23507.15,23277,23348.7,5527525,0
2024-11-22T00:00:00+05:30,23424.75,23959.7,23381.2,23886.55,10552250,0
2024-11-25T00:00:00+05:30,24268,24365,24120,24273.5,7601275,0
2024-11-26T00:00:00+05:30,24349,24349,24132,24217.1,4662550,0
2024-11-27T00:00:00+05:30,24214.9,24380,24157,24299.55,5306500,0
2024-11-28T00:00:00+05:30,24324.95,24354,23837.95,23903.55,8701825,0
2024-11-29T00:00:00+05:30,24139.85,24367.95,24112,24304.15,6582400,0
2024-12-02T00:00:00+05:30,24300,24474.9,24168,24428.5,5743350,0
2024-12-03T00:00:00+05:30,24451.05,24590,24390,24547,5112075,0
2024-12-04T00:00:00+05:30,24549.85,24660,24440,24561.7,5935375,0
2024-12-05T00:00:00+05:30,24597,24930,24396,24764.35,12468000,0
2024-12-06T00:00:00+05:30,24760,24844.9,24700,24783.25,4387775,0
2024-12-09T00:00:00+05:30,24763.95,24780,24651.7,24694.6,3590100,0
2024-12-10T00:00:00+05:30,24709,24769,24595.25,24682.6,4028000,0
2024-12-11T00:00:00+05:30,24679.9,24798.8,24666.35,24734.9,3922400,0
2024-12-12T00:00:00+05:30,24721.95,24797.9,24628,24648.55,3541625,0
2024-12-13T00:00:00+05:30,24593.9,24869,24231,24830.75,11919450,0
2024-12-16T00:00:00+05:30,24800,24833,24660.15,24738.5,4606750,0
2024-12-17T00:00:00+05:30,24669.65,24695,24380,24417.65,7943650,0
2024-12-18T00:00:00+05:30,24369.85,24463.3,24216.25,24257.35,5562100,0
2024-12-19T00:00:00+05:30,24100,24100,23920.6,24018.8,4826575,0
2024-12-20T00:00:00+05:30,23994,24097.95,23575,23625.65,7737600,0
2024-12-23T00:00:00+05:30,23725.05,23901.8,23664.1,23769.75,5785575,0
2024-12-24T00:00:00+05:30,23765.95,23879.85,23716,23770.6,6188850,0
2024-12-26T00:00:00+05:30,23806.4,23869,23633.3,23748.7,5398150,0
2024-12-27T00:00:00+05:30,23940,24127.95,23925,23992.65,4932400,0
2024-12-30T00:00:00+05:30,23971.7,24079.7,23771.5,23816.7,5749600,0
2024-12-31T00:00:00+05:30,23700,23857.75,23602,23805.85,5152450,0
2025-01-01T00:00:00+05:30,23500,23964,23500,23897.85,4393225,0
2025-01-02T00:00:00+05:30,23911,24314,23863.1,24282.65,8475525,0
2025-01-03T00:00:00+05:30,24240,24268.95,24071.4,24092.4,6550100,0
2025-01-06T00:00:00+05:30,24145.1,24150,23660,23721.05,9534850,0
2025-01-07T00:00:00+05:30,23800.2,23890,23738.75,23795.05,4250825,0
2025-01-08T00:00:00+05:30,23800,23839,23593.3,23781.35,5947575,0
2025-01-09T00:00:00+05:30,23759,23759,23612.9,23648.1,4573775,0
2025-01-10T00:00:00+05:30,23625.05,23684.9,23430,23500.65,6542575,0
2025-01-13T00:00:00+05:30,23400,23408.3,23112.1,23162.1,6969550,0
2025-01-14T00:00:00+05:30,23248,23339,23198.45,23271.75,4867475,0
2025-01-15T00:00:00+05:30,23302.05,23345,23201,23265.9,3594750,0
2025-01-16T00:00:00+05:30,23406,23423.9,23346.15,23377.55,4279950,0
2025-01-17T00:00:00+05:30,23344.9,23353.8,23150.1,23267.2,5459700,0
