date,close_to_close_20d,parkinson_20d,garman_klass_20d,rogers_satchell_20d,yang_zhang_20d,parkinson_c2c_ratio
2024-01-01,,,,,,
2024-01-02,,,,,,
2024-01-03,,,,,,
2024-01-04,,,,,,
2024-01-08,,,,,,
2024-01-09,,,,,,
2024-01-10,,,,,,
2024-01-12,,,,,,
2024-01-15,,,,,,
2024-01-16,,,,,,
2024-01-17,,,,,,
2024-01-18,,,,,,
2024-01-19,,,,,,
2024-01-20,,,,,,
2024-01-23,,,,,,
2024-01-24,,,,,,
2024-01-25,,,,,,
2024-01-29,,,,,,
2024-01-30,,,,,,
2024-01-31,,,,,,
2024-02-01,0.1516,0.1138,0.1039,0.0982,0.1383,0.7507
2024-02-06,0.1554,0.114,0.1041,0.0979,0.1391,0.7335
2024-02-07,0.1531,0.1142,0.1048,0.099,0.1401,0.7463
2024-02-08,0.1559,0.1185,0.1073,0.1007,0.1419,0.7601
2024-02-13,0.1539,0.1175,0.1082,0.103,0.1433,0.7637
2024-02-14,0.1545,0.1205,0.11,0.1039,0.1467,0.7801
2024-02-15,0.1544,0.12,0.1096,0.1037,0.1466,0.7769
2024-02-16,0.1495,0.1185,0.1081,0.1023,0.1446,0.793
2024-02-19,0.1465,0.1187,0.1084,0.1024,0.1429,0.8101
2024-02-20,0.1465,0.1189,0.1084,0.1023,0.143,0.8114
2024-02-21,0.1269,0.1177,0.105,0.0962,0.123,0.9275
2024-02-22,0.1265,0.1206,0.1088,0.1017,0.1229,0.9531
2024-02-23,0.1249,0.1207,0.1087,0.1016,0.1215,0.966
2024-02-26,0.1257,0.12,0.1084,0.1015,0.1217,0.9546
2024-02-27,0.1099,0.1073,0.1002,0.0963,0.113,0.9766
2024-02-28,0.1152,0.106,0.0987,0.0948,0.1113,0.9202
2024-02-29,0.1132,0.1057,0.0987,0.0942,0.1108,0.9335
2024-03-01,0.11,0.1046,0.0978,0.0934,0.1098,0.9508
2024-03-02,0.102,0.1002,0.0946,0.0912,0.1072,0.9819
2024-03-04,0.0983,0.0962,0.0921,0.0895,0.1045,0.9787
2024-03-06,0.0979,0.0982,0.0942,0.0919,0.1076,1.0032
2024-03-11,0.0961,0.0982,0.093,0.09,0.1053,1.0222
2024-03-13,0.111,0.1095,0.1009,0.0957,0.1119,0.9872
2024-03-14,0.107,0.1078,0.1013,0.0968,0.1115,1.0076
2024-03-15,0.1094,0.1071,0.1005,0.0955,0.111,0.9794
2024-03-18,0.1086,0.1037,0.0989,0.0948,0.1056,0.9555
2024-03-19,0.1149,0.1042,0.0986,0.0939,0.1067,0.9068
2024-03-20,0.1128,0.1059,0.1012,0.0967,0.1076,0.9391
2024-03-21,0.1156,0.1056,0.1007,0.0962,0.1093,0.9131
2024-03-22,0.1158,0.1082,0.1037,0.099,0.1126,0.9341
2024-03-26,0.1146,0.1062,0.1024,0.0983,0.1139,0.9265
2024-03-27,0.1132,0.1006,0.095,0.089,0.1071,0.8891
2024-03-28,0.1177,0.1056,0.1012,0.0975,0.1132,0.8967
2024-04-01,0.1182,0.1053,0.1009,0.0974,0.1146,0.8907
2024-04-02,0.1179,0.105,0.1011,0.0978,0.1146,0.8911
2024-04-03,0.11,0.1019,0.1,0.0978,0.114,0.9266
2024-04-04,0.1103,0.1044,0.1033,0.1032,0.1204,0.9466
2024-04-05,0.0962,0.1008,0.1023,0.1034,0.1192,1.0481
2024-04-08,0.0986,0.1016,0.1031,0.1041,0.1198,1.0307
2024-04-09,0.0987,0.1024,0.1034,0.1043,0.1209,1.0369
2024-04-10,0.0995,0.0995,0.1004,0.1012,0.1179,0.9994
2024-04-12,0.1039,0.0995,0.1009,0.1019,0.119,0.9571
2024-04-15,0.097,0.0863,0.0928,0.0966,0.115,0.8899
2024-04-16,0.0966,0.0827,0.0897,0.0941,0.115,0.8568
2024-04-18,0.0976,0.088,0.094,0.0979,0.1183,0.9014
2024-04-19,0.1004,0.0941,0.098,0.1008,0.1233,0.9374
2024-04-22,0.0958,0.0939,0.0986,0.1022,0.1263,0.9808
2024-04-23,0.0958,0.0919,0.0956,0.0991,0.1253,0.9595
2024-04-24,0.0927,0.0913,0.0948,0.0985,0.1229,0.9856
2024-04-25,0.0949,0.0919,0.0937,0.0969,0.1224,0.9675
2024-04-26,0.0971,0.0937,0.0944,0.0968,0.1203,0.9657
2024-04-29,0.1009,0.0949,0.0949,0.0966,0.1205,0.941
2024-04-30,0.097,0.091,0.0906,0.0906,0.1161,0.9389
2024-05-02,0.0951,0.0915,0.0909,0.091,0.1153,0.9624
2024-05-03,0.0991,0.1002,0.0989,0.0984,0.1226,1.0116
2024-05-06,0.0992,0.1003,0.0984,0.0976,0.1218,1.0112
2024-05-07,0.1006,0.0991,0.0952,0.0918,0.1164,0.9849
2024-05-08,0.1006,0.1001,0.0964,0.093,0.1179,0.9948
2024-05-09,0.1097,0.1055,0.101,0.097,0.1218,0.962
2024-05-10,0.1116,0.1059,0.1021,0.0983,0.122,0.949
2024-05-13,0.1101,0.1097,0.1073,0.1056,0.1268,0.9963
2024-05-14,0.1073,0.1092,0.1072,0.1056,0.1262,1.0174
2024-05-15,0.1005,0.1089,0.1069,0.105,0.1222,1.0835
2024-05-16,0.1033,0.114,0.1138,0.115,0.1279,1.1036
2024-05-17,0.0999,0.1095,0.1095,0.1111,0.1242,1.0963
2024-05-18,0.0977,0.1037,0.1053,0.1093,0.1186,1.0618
2024-05-21,0.0936,0.1038,0.1047,0.1082,0.1168,1.1095
2024-05-22,0.094,0.1043,0.1057,0.1094,0.1169,1.1102
2024-05-23,0.1086,0.111,0.1095,0.1115,0.1202,1.0221
2024-05-24,0.1063,0.1073,0.1072,0.11,0.1173,1.0094
2024-05-27,0.1031,0.1073,0.1085,0.1116,0.1185,1.0416
2024-05-28,0.0984,0.1062,0.1079,0.1112,0.1178,1.0797
2024-05-29,0.1025,0.1051,0.1065,0.1097,0.1185,1.0248
2024-05-30,0.1077,0.1077,0.1096,0.1125,0.1215,1.0003
2024-05-31,0.1046,0.1007,0.1038,0.1074,0.1156,0.9631
2024-06-03,0.1517,0.1025,0.1066,0.1123,0.1698,0.6754
2024-06-04,0.2649,0.2074,0.2017,0.2054,0.2452,0.7829
2024-06-05,0.29,0.2232,0.2186,0.2229,0.2612,0.7697
2024-06-06,0.2849,0.2217,0.2181,0.2229,0.2606,0.7779
2024-06-07,0.2919,0.2264,0.2203,0.2237,0.2628,0.7754
2024-06-10,0.2922,0.225,0.2184,0.221,0.2604,0.7698
2024-06-11,0.2922,0.2249,0.2185,0.2212,0.2604,0.7696
2024-06-12,0.292,0.2248,0.2185,0.2213,0.2605,0.77
2024-06-13,0.291,0.2222,0.2147,0.216,0.2568,0.7636
2024-06-14,0.291,0.2222,0.2147,0.2163,0.2568,0.7634
2024-06-18,0.2911,0.2216,0.214,0.2149,0.2558,0.7615
2024-06-19,0.2914,0.2221,0.2147,0.2157,0.2547,0.7622
2024-06-20,0.2914,0.2223,0.215,0.2161,0.2549,0.7629
2024-06-21,0.2871,0.2202,0.2142,0.2162,0.2537,0.7668
2024-06-24,0.2871,0.2207,0.2145,0.2163,0.2553,0.7688
2024-06-25,0.2878,0.2203,0.2137,0.2154,0.255,0.7654
2024-06-26,0.2879,0.2208,0.2141,0.2158,0.2557,0.7669
2024-06-27,0.286,0.2218,0.2151,0.2167,0.2547,0.7756
2024-06-28,0.2829,0.2208,0.2139,0.2156,0.2525,0.7804
2024-07-01,0.2829,0.2206,0.2132,0.2148,0.2526,0.7795
2024-07-02,0.2633,0.2197,0.2118,0.2124,0.2235,0.8344
2024-07-03,0.1296,0.1231,0.1228,0.1232,0.1341,0.95
2024-07-04,0.0813,0.0904,0.0878,0.0861,0.0986,1.1116
2024-07-05,0.0795,0.0885,0.0846,0.0823,0.096,1.1138
2024-07-08,0.0499,0.0742,0.077,0.0786,0.0896,1.4871
2024-07-09,0.0489,0.0729,0.0751,0.0765,0.088,1.4916
2024-07-10,0.054,0.0763,0.0787,0.0818,0.0923,1.4126
2024-07-11,0.0547,0.0774,0.0798,0.0833,0.0935,1.413
2024-07-12,0.0579,0.0798,0.0828,0.086,0.0941,1.3776
2024-07-15,0.058,0.0791,0.0819,0.0844,0.0929,1.3634
2024-07-16,0.0579,0.0791,0.0818,0.0841,0.0922,1.3657
2024-07-18,0.0589,0.081,0.0819,0.0832,0.0931,1.376
2024-07-19,0.0754,0.0848,0.0821,0.0814,0.0934,1.1243
2024-07-22,0.0741,0.0837,0.0818,0.0808,0.0932,1.1288
2024-07-23,0.075,0.0929,0.0953,0.103,0.1083,1.2383
2024-07-24,0.0735,0.0929,0.0962,0.1041,0.1094,1.2632
2024-07-25,0.0717,0.0927,0.0956,0.1034,0.1129,1.2941
2024-07-26,0.0891,0.0974,0.0961,0.1022,0.1137,1.0937
2024-07-29,0.0886,0.0979,0.0966,0.1024,0.1145,1.1051
2024-07-30,0.0875,0.0978,0.0975,0.1037,0.1152,1.1176
