entry_date,expiry_date,S_entry,S_exit,atm_strike,short_call_k,short_put_k,long_call_k,long_put_k,straddle_pnl,strangle_pnl,condor_pnl,straddle_credit,strangle_credit,condor_credit,straddle_cost,strangle_cost,condor_cost,net_straddle_pnl,net_strangle_pnl,net_condor_pnl,vol_tercile,cost_scenario,short_leg_cost_param,wing_leg_cost_param,statutory_pct_param,straddle_cost,strangle_cost,condor_cost,net_straddle_pnl_calibrated,net_strangle_pnl_calibrated,net_condor_pnl_calibrated
2024-12-27,2025-01-02,23813.4,24188.65,23800,24150,23550,24350,23300,-100.15000000000146,38.04999999999855,12.999999999998547,288.5,76.7,51.650000000000006,2.1151,1.988,3.1532,-101.32310000000146,37.00397999999855,11.353979999998547,Mid,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1151,1.988,3.1532,-102.2651,36.062,9.8468
2025-01-03,2025-01-09,24004.75,23526.5,24000,24350,23700,24550,23400,-162.70000000000005,-84.05000000000001,-112.15,310.79999999999995,89.44999999999999,61.34999999999999,2.1285,1.9957,3.1609,-163.88648000000003,-85.10367000000001,-113.80367000000001,Mid,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1285,1.9957,3.1609,-164.8285,-86.0457,-115.3109
2025-01-10,2025-01-16,23431.5,23311.8,23450,23800,23100,24000,22800,172.49999999999926,86.4,53.00000000000001,310.7,86.4,53.00000000000001,2.1284,1.9938,3.159,171.31357999999926,85.34816000000001,51.34816000000001,High,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1284,1.9938,3.159,170.3716,84.4062,49.841
2025-01-17,2025-01-23,23203.2,23205.35,23200,23550,22850,23800,22550,327.65000000000146,94.75,65.3,333.0,94.75,65.3,2.1418,1.9989,3.164,326.4502000000015,93.69315,63.64315,Mid,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1418,1.9989,3.164,325.5082,92.7511,62.1359
2025-01-24,2025-01-30,23092.2,23249.5,23100,23450,22750,23700,22450,183.39999999999998,95.35,64.55,332.9,95.35,64.55,2.1417,1.9992,3.1644,182.20026,94.29279,62.89279,Mid,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1417,1.9992,3.1644,181.2583,93.3508,61.3856
2025-02-01,2025-02-06,23482.15,23603.35,23500,23800,23200,24050,22900,177.75000000000148,85.5,53.05,281.1,85.5,53.05,2.1107,1.9933,3.1585,176.5813400000015,84.4487,51.3987,Mid,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1107,1.9933,3.1585,175.6393,83.5067,49.8915
2025-02-07,2025-02-13,23559.95,23031.4,23550,23900,23250,24150,23000,-215.59999999999854,-135.09999999999854,-161.19999999999854,303.0,83.5,57.4,2.1238,1.9921,3.1573,-216.78179999999855,-136.15009999999853,-162.85009999999855,Mid,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1238,1.9921,3.1573,-217.7238,-137.0921,-164.3573
2025-02-14,2025-02-20,22929.25,22913.15,22950,23300,22600,23550,22300,290.05000000000143,92.35,62.449999999999996,326.9,92.35,62.449999999999996,2.1381,1.9974,3.1626,288.8538600000014,91.29459,60.79458999999999,Mid,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1381,1.9974,3.1626,287.9119,90.3526,59.2874
2025-02-20,2025-02-27,22913.15,22545.05,22900,23250,22600,23500,22300,-26.700000000000728,46.29999999999927,15.799999999999272,328.25,101.25,70.75,2.1389,2.0027,3.1679,-27.89695000000073,45.239249999999274,14.139249999999272,Mid,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1389,2.0027,3.1679,-28.839,44.2972,12.632
2025-02-28,2025-03-06,22124.7,22544.7,22100,22450,21850,22650,21600,-143.90000000000072,-10.450000000000728,-39.90000000000073,300.8,84.25,54.8,2.1225,1.9926,3.1577,-145.0804800000007,-11.500550000000727,-41.55055000000073,Low,calibrated_60pct_condor,0.971,0.5826,0.0006,2.1225,1.9926,3.1577,-146.0225,-12.4426,-43.0578
