entry_date,expiry_date,S_entry,S_exit,atm_strike,short_call_k,short_put_k,long_call_k,long_put_k,straddle_pnl,strangle_pnl,condor_pnl,straddle_credit,strangle_credit,condor_credit,straddle_cost,strangle_cost,condor_cost,net_straddle_pnl,net_strangle_pnl,net_condor_pnl
2024-12-27,2025-01-02,23813.4,24188.65,23800,24150,23550,24350,23300,-100.15000000000146,38.04999999999855,12.999999999998547,288.5,76.7,51.650000000000006,1.1731,1.04602,1.64602,-101.32310000000146,37.00397999999855,11.353979999998547
2025-01-03,2025-01-09,24004.75,23526.5,24000,24350,23700,24550,23400,-162.70000000000005,-84.05000000000001,-112.15,310.79999999999995,89.44999999999999,61.34999999999999,1.18648,1.0536699999999999,1.65367,-163.88648000000003,-85.10367000000001,-113.80367000000001
2025-01-10,2025-01-16,23431.5,23311.8,23450,23800,23100,24000,22800,172.49999999999926,86.4,53.00000000000001,310.7,86.4,53.00000000000001,1.18642,1.0518399999999999,1.65184,171.31357999999926,85.34816000000001,51.34816000000001
2025-01-17,2025-01-23,23203.2,23205.35,23200,23550,22850,23800,22550,327.65000000000146,94.75,65.3,333.0,94.75,65.3,1.1998,1.05685,1.6568500000000002,326.4502000000015,93.69315,63.64315
2025-01-24,2025-01-30,23092.2,23249.5,23100,23450,22750,23700,22450,183.39999999999998,95.35,64.55,332.9,95.35,64.55,1.19974,1.05721,1.65721,182.20026,94.29279,62.89279
2025-02-01,2025-02-06,23482.15,23603.35,23500,23800,23200,24050,22900,177.75000000000148,85.5,53.05,281.1,85.5,53.05,1.16866,1.0513,1.6513,176.5813400000015,84.4487,51.3987
2025-02-07,2025-02-13,23559.95,23031.4,23550,23900,23250,24150,23000,-215.59999999999854,-135.09999999999854,-161.19999999999854,303.0,83.5,57.4,1.1818,1.0501,1.6501000000000001,-216.78179999999855,-136.15009999999853,-162.85009999999855
2025-02-14,2025-02-20,22929.25,22913.15,22950,23300,22600,23550,22300,290.05000000000143,92.35,62.449999999999996,326.9,92.35,62.449999999999996,1.19614,1.05541,1.65541,288.8538600000014,91.29459,60.79458999999999
2025-02-20,2025-02-27,22913.15,22545.05,22900,23250,22600,23500,22300,-26.700000000000728,46.29999999999927,15.799999999999272,328.25,101.25,70.75,1.19695,1.06075,1.6607500000000002,-27.89695000000073,45.239249999999274,14.139249999999272
2025-02-28,2025-03-06,22124.7,22544.7,22100,22450,21850,22650,21600,-143.90000000000072,-10.450000000000728,-39.90000000000073,300.8,84.25,54.8,1.18048,1.05055,1.6505500000000002,-145.0804800000007,-11.500550000000727,-41.55055000000073
2025-03-07,2025-03-13,22552.5,22397.2,22550,22850,22250,23000,22000,119.50000000000068,72.3,44.5,272.29999999999995,72.3,44.5,1.16338,1.04338,1.64338,118.33662000000068,71.25662,42.85662
2025-03-13,2025-03-20,22397.2,23190.65,22400,22700,22100,22850,21850,-520.1500000000015,-420.45000000000147,-106.19999999999999,270.5,70.2,43.800000000000004,1.1622999999999999,1.04212,1.64212,-521.3123000000014,-421.4921200000015,-107.84212
2025-03-21,2025-03-27,23350.4,23591.95,23350,23650,23100,23800,22850,7.149999999999267,67.1,39.949999999999996,249.1,67.1,39.949999999999996,1.14946,1.04026,1.64026,6.000539999999267,66.05973999999999,38.30974
2025-03-27,2025-04-03,23591.95,23250.1,23600,24000,23300,24350,23000,-20.000000000001478,48.69999999999854,14.349999999998538,329.9,98.6,64.25,1.19794,1.0591599999999999,1.65916,-21.197940000001477,47.64083999999854,12.690839999998538
2025-04-03,2025-04-09,23250.1,22399.15,23250,23600,22900,23800,22600,-532.0499999999986,-414.59999999999854,-243.3,318.8,86.25,56.7,1.19128,1.05175,1.65175,-533.2412799999986,-415.6517499999986,-244.95175
2025-04-09,2025-04-17,22399.15,23851.65,22400,23050,21700,23400,20900,-833.6500000000015,-624.6500000000015,-239.54999999999995,618.0,177.0,110.45,1.3708,1.1062,1.7062000000000002,-835.0208000000015,-625.7562000000014,-241.25619999999995
2025-04-17,2025-04-24,23851.65,24246.7,23850,24250,23400,24600,22950,-11.950000000000728,111.75,68.45,384.75,111.75,68.45,1.23085,1.06705,1.6670500000000001,-13.180850000000728,110.68295,66.78295
2025-04-24,2025-04-30,24246.7,24334.2,24250,24650,23800,24950,23350,307.44999999999925,118.05,75.85,391.65,118.05,75.85,1.23499,1.07083,1.67083,306.21500999999927,116.97917,74.17917
2025-05-02,2025-05-08,24346.7,24273.8,24350,24650,23900,24950,23400,238.04999999999927,100.0,60.75,314.25,100.0,60.75,1.18855,1.06,1.6600000000000001,236.86144999999928,98.94,59.09
2025-05-09,2025-05-15,24008.0,25062.1,24000,24450,23400,24750,22600,-610.2499999999985,-467.79999999999853,-210.95000000000005,451.85,144.3,89.05000000000001,1.27111,1.08658,1.6865800000000002,-611.5211099999985,-468.88657999999856,-212.63658000000004
