date,india_vix,forward_20d_realized_vol,vrp_spread
2024-11-01,15.9,15.951,-0.051
2024-11-04,16.69,15.221,1.469
2024-11-05,16.12,15.274,0.846
2024-11-06,14.87,14.835,0.035
2024-11-07,14.94,14.216,0.724
2024-11-08,14.47,14.183,0.287
2024-11-11,14.27,14.176,0.094
2024-11-12,14.59,13.643,0.947
2024-11-13,15.44,12.71,2.73
2024-11-14,14.78,12.854,1.926
2024-11-18,15.17,13.87,1.3
2024-11-19,15.66,14.104,1.556
2024-11-21,15.99,14.378,1.612
2024-11-22,16.1,13.005,3.095
2024-11-25,15.3,12.35,2.95
2024-11-26,15.31,12.35,2.96
2024-11-27,14.63,12.273,2.357
2024-11-28,15.21,11.232,3.978
2024-11-29,14.43,10.943,3.487
2024-12-02,14.7,10.652,4.048
2024-12-03,14.37,10.368,4.002
2024-12-04,14.45,12.481,1.969
2024-12-05,14.53,12.107,2.423
2024-12-06,14.14,13.155,0.985
2024-12-09,14.11,13.321,0.789
2024-12-10,13.78,13.316,0.464
2024-12-11,13.27,13.368,-0.098
2024-12-12,13.19,13.372,-0.182
2024-12-13,13.05,13.384,-0.334
2024-12-16,14.02,13.624,0.396
2024-12-17,14.49,13.163,1.327
2024-12-18,14.37,13.295,1.075
2024-12-19,14.51,12.987,1.523
2024-12-20,15.07,12.224,2.846
2024-12-23,13.52,12.72,0.8
2024-12-24,13.18,12.964,0.216
2024-12-26,14.04,12.996,1.044
2024-12-27,13.24,12.979,0.261
2024-12-30,13.97,13.297,0.673
2024-12-31,14.45,13.529,0.921
2025-01-01,14.51,13.877,0.633
2025-01-02,13.74,12.029,1.711
2025-01-03,13.54,12.646,0.894
2025-01-06,15.65,11.36,4.29
2025-01-07,14.66,11.374,3.286
2025-01-08,14.47,12.772,1.698
2025-01-09,14.66,12.541,2.119
2025-01-10,14.92,12.536,2.384
2025-01-13,16.0,11.291,4.709
2025-01-14,15.47,11.617,3.853
2025-01-15,15.26,12.542,2.718
2025-01-16,15.47,12.435,3.035
2025-01-17,15.75,12.345,3.405
2025-01-20,16.42,12.188,4.232
2025-01-21,17.06,11.257,5.803
2025-01-22,16.77,11.057,5.713
2025-01-23,16.7,11.016,5.684
2025-01-24,16.75,10.906,5.844
2025-01-27,18.13,10.3,7.83
2025-01-28,18.2,10.705,7.495
2025-01-29,18.64,10.098,8.542
2025-01-30,17.39,9.942,7.448
2025-01-31,16.25,10.526,5.724
2025-02-01,14.1,10.55,3.55
2025-02-03,14.35,10.529,3.821
2025-02-04,14.02,9.567,4.453
2025-02-05,14.08,10.468,3.612
2025-02-06,14.18,10.499,3.681
2025-02-07,13.69,10.516,3.174
2025-02-10,14.45,10.426,4.024
2025-02-11,14.87,9.562,5.308
2025-02-12,14.9,9.585,5.315
2025-02-13,14.96,9.836,5.124
2025-02-14,15.02,11.111,3.909
2025-02-17,15.72,11.163,4.557
2025-02-18,15.67,11.953,3.717
2025-02-19,15.42,12.142,3.278
2025-02-20,14.68,12.829,1.851
2025-02-21,14.53,12.603,1.927
2025-02-24,14.44,12.266,2.174
2025-02-25,13.72,12.264,1.456
2025-02-27,13.31,12.379,0.931
2025-02-28,13.91,11.64,2.27
2025-03-03,13.76,11.718,2.042
