date,spot_close,total_volume_lots,total_oi_lots_clean,volume_weighted_strike,vwks,oi_data_quality,oi_strikes_dropped_negative,oi_strikes_total
2024-01-01,21741.9,8.7,28.7,23000.0,1.05787,clean,0,1
2024-01-02,21665.8,50.1,161.3,21080.45,0.97298,clean,0,4
2024-01-03,21517.35,9.4,107.3,21926.03,1.01899,clean,0,3
2024-01-04,21658.6,7.4,105.3,18922.24,0.87366,clean,0,2
2024-01-08,21513.0,4.0,59.3,22500.0,1.04588,clean,0,2
2024-01-09,21544.85,2.7,28.7,22000.0,1.02113,clean,0,1
2024-01-10,21618.7,0.7,28.7,23000.0,1.06389,clean,0,1
2024-01-12,21894.55,10.0,38.0,22932.27,1.0474,clean,0,3
2024-01-15,22097.45,4.7,92.7,20289.77,0.9182,clean,0,2
2024-01-16,22032.3,20.7,77.3,22415.43,1.01739,clean,0,5
2024-01-17,21571.95,6.1,48.7,21552.86,0.99912,clean,0,4
2024-01-18,21462.25,21.4,52.7,18314.41,0.85333,clean,0,3
2024-01-19,21622.4,4.0,40.7,18000.0,0.83247,clean,0,1
2024-01-20,21571.8,2.7,8.0,23000.0,1.06621,clean,0,1
2024-01-23,21238.8,2.0,34.0,23000.0,1.08292,clean,0,1
2024-01-24,21453.95,1.4,50.7,21250.0,0.99049,clean,0,2
2024-01-25,21352.6,19.4,89.3,20827.94,0.97543,clean,0,3
2024-01-29,21737.6,16.1,182.7,21042.29,0.96801,clean,0,6
2024-01-30,21522.1,34.7,107.3,21020.35,0.97669,clean,0,3
2024-01-31,21725.7,0.7,13.3,23000.0,1.05865,clean,0,1
2024-02-01,21697.45,0.7,51.3,19000.0,0.87568,clean,0,1
2024-02-06,21929.4,0.7,35.3,23000.0,1.04882,clean,0,1
2024-02-07,21930.5,22.7,48.7,19500.0,0.88917,clean,0,2
2024-02-08,21717.95,7.4,132.7,18111.91,0.83396,clean,0,5
2024-02-13,21743.25,0.7,8.0,22000.0,1.01181,clean,0,1
2024-02-14,21840.05,4.7,63.3,22713.88,1.04001,clean,0,3
2024-02-15,21910.75,8.0,82.0,19592.04,0.89417,clean,0,3
2024-02-16,22040.7,26.0,74.7,20411.67,0.92609,clean,0,3
2024-02-19,22122.25,20.7,86.0,21132.48,0.95526,clean,0,5
2024-02-20,22196.95,20.1,122.7,21732.71,0.97909,clean,0,4
2024-02-21,22055.05,11.4,40.7,22000.0,0.9975,clean,0,2
2024-02-22,22217.45,4.7,24.7,23000.0,1.03522,clean,0,1
2024-02-23,22212.7,15.4,34.0,23000.0,1.03544,clean,0,2
2024-02-26,22122.05,11.4,74.7,22822.98,1.03168,clean,0,3
2024-02-27,22198.35,22.0,46.0,21789.47,0.98158,clean,0,3
2024-02-28,21951.15,12.7,76.0,22788.48,1.03815,clean,0,4
2024-02-29,21982.8,3.3,33.3,23000.0,1.04627,clean,0,1
2024-03-01,22338.75,14.7,144.0,22723.08,1.0172,clean,0,5
2024-03-02,22378.4,0.7,31.3,22000.0,0.98309,clean,0,1
2024-03-04,22405.6,10.0,64.0,23067.73,1.02955,clean,0,3
2024-03-06,22474.05,0.7,10.7,22000.0,0.97891,clean,0,1
2024-03-11,22332.65,7.4,98.7,20049.73,0.89778,clean,0,3
2024-03-13,21997.7,14076.0,68.7,19430.99,0.88332,clean,0,3
2024-03-14,22146.65,26.7,6165.3,21377.56,0.96527,clean,0,5
2024-03-15,22023.35,16.7,6134.0,22599.36,1.02615,clean,0,3
2024-03-18,22055.7,9.4,52.7,23072.65,1.04611,clean,0,2
2024-03-19,21817.45,32.1,276.7,20000.0,0.9167,clean,0,8
2024-03-20,21839.1,20.0,54.7,16334.89,0.74797,clean,0,2
2024-03-21,22011.95,26.0,6135.3,20283.15,0.92146,clean,0,3
2024-03-22,22096.75,1.4,22.0,20750.0,0.93905,clean,0,2
2024-03-26,22004.7,33.4,88.0,18582.9,0.8445,clean,0,3
2024-03-27,22123.65,8.0,54.0,23000.0,1.03961,clean,0,1
2024-03-28,22326.9,24.8,206.7,22545.77,1.0098,clean,0,7
2024-04-01,22462.0,20.7,84.7,22420.31,0.99814,clean,0,5
2024-04-02,22453.3,31.4,6316.7,21297.71,0.94853,clean,0,8
2024-04-03,22434.65,41.5,6306.7,22546.16,1.00497,clean,0,9
2024-04-04,22514.65,50.1,6326.0,22758.71,1.01084,clean,0,9
2024-04-05,22513.7,13.4,164.7,21400.8,0.95057,clean,0,3
2024-04-08,22666.3,76.1,304.7,22376.8,0.98723,clean,0,6
2024-04-09,22642.75,51.5,384.7,21804.66,0.96299,clean,0,9
2024-04-10,22753.8,9.4,154.0,22712.25,0.99817,clean,0,2
2024-04-12,22519.4,27.5,444.7,21535.18,0.95629,clean,0,10
2024-04-15,22272.5,32.1,6373.3,21811.62,0.97931,clean,0,8
2024-04-16,22147.9,22.1,6346.0,21062.12,0.95098,clean,0,8
2024-04-18,21995.85,22.8,310.0,21985.09,0.99951,clean,0,9
2024-04-19,22147.0,45.5,14548.0,21441.12,0.96813,clean,0,13
2024-04-22,22336.4,13.4,297.3,22799.0,1.02071,clean,0,5
2024-04-23,22368.0,21.5,6531.3,20688.2,0.9249,clean,0,10
2024-04-24,22402.4,40.1,307.3,19386.23,0.86536,clean,0,6
2024-04-25,22570.35,21.5,310.0,21310.75,0.94419,clean,0,7
2024-04-26,22419.95,8.4,296.7,22199.68,0.99018,clean,0,6
2024-04-29,22643.4,9.7,302.0,22242.47,0.98229,clean,0,5
2024-04-30,22604.85,8.8,327.3,22416.41,0.99166,clean,0,8
2024-05-02,22648.2,9.7,314.7,22896.03,1.01094,clean,0,6
2024-05-03,22475.85,19.8,303.3,22746.29,1.01203,clean,0,6
2024-05-06,22442.7,19.4,6314.3,21381.71,0.95272,clean,0,4
2024-05-07,22302.5,5.7,117.3,21939.25,0.98371,clean,0,3
2024-05-08,22302.5,6.4,122.7,22631.8,1.01477,clean,0,3
2024-05-09,21957.5,23.8,8293.7,21334.27,0.97162,clean,0,8
2024-05-10,22055.2,42.5,6638.3,21652.65,0.98175,clean,0,13
2024-05-13,22104.05,11.4,261.3,21202.8,0.95923,clean,0,8
2024-05-14,22217.85,73.5,511.7,22600.83,1.01724,clean,0,8
2024-05-15,22200.55,57.7,435.7,22272.06,1.00322,clean,0,5
2024-05-16,22403.85,35.8,512.0,22665.98,1.0117,clean,0,11
2024-05-17,22466.1,28.8,410.3,22708.99,1.01081,clean,0,8
2024-05-18,22502.0,2.0,350.3,22333.33,0.9925,clean,0,3
2024-05-21,22529.05,37.1,429.0,22539.9,1.00048,clean,0,7
2024-05-22,22597.8,48.1,495.7,22693.1,1.00422,clean,0,7
2024-05-23,22967.65,52.1,6695.0,22645.43,0.98597,clean,0,8
2024-05-24,22957.1,43.4,459.0,23024.25,1.00292,clean,0,7
2024-05-27,22932.45,44.4,620.3,22683.67,0.98915,clean,0,7
2024-05-28,22888.15,23.1,595.0,23504.04,1.02691,clean,0,7
2024-05-29,22704.7,31.8,563.7,21644.44,0.9533,clean,0,7
2024-05-30,22488.65,50.2,8718.7,22782.56,1.01307,clean,0,11
2024-05-31,22530.7,91.1,617.7,23219.46,1.03057,clean,0,9
2024-06-03,23263.9,161.1,790.3,23202.55,0.99736,clean,0,10
2024-06-04,21884.5,269.2,8797.0,22237.27,1.01612,clean,0,15
2024-06-05,22620.35,178.9,7121.7,22519.38,0.99554,clean,0,17
2024-06-06,22821.4,124.6,15080.3,21897.61,0.95952,clean,0,20
2024-06-07,23290.15,227.9,15112.7,22651.97,0.9726,clean,0,20
2024-06-10,23259.2,110.3,7160.3,23106.91,0.99345,clean,0,18
2024-06-11,23264.85,96.6,7229.7,23036.59,0.99019,clean,0,17
2024-06-12,23322.95,113.6,15275.7,23142.81,0.99228,clean,0,20
2024-06-13,23398.9,142.6,7340.3,23487.66,1.00379,clean,0,19
2024-06-14,23465.6,173.4,7527.3,23259.15,0.9912,clean,0,23
2024-06-18,23557.9,150.3,7540.0,22199.41,0.94233,clean,0,21
2024-06-19,23516.0,181.6,7496.7,22551.05,0.95897,clean,0,20
2024-06-20,23567.0,132.6,15577.3,23240.93,0.98616,clean,0,19
2024-06-21,23501.1,169.9,7741.3,22961.75,0.97705,clean,0,19
2024-06-24,23537.85,156.9,1601.0,23119.39,0.98222,clean,0,17
2024-06-25,23721.3,162.7,1781.0,22947.95,0.9674,clean,0,21
2024-06-26,23868.8,240.7,16070.3,23004.49,0.96379,clean,0,23
2024-06-27,24044.5,315.3,8301.0,23312.85,0.96957,clean,0,24
2024-06-28,24010.6,497.8,2383.3,23208.03,0.96657,clean,0,26
2024-07-01,24141.95,236.4,2328.0,23362.05,0.9677,clean,0,21
2024-07-02,24123.85,252.6,16498.7,23026.23,0.9545,clean,0,20
2024-07-03,24286.5,484.4,10869.3,23281.48,0.95862,clean,0,25
2024-07-04,24302.15,826.0,3281.7,23508.95,0.96736,clean,0,21
2024-07-05,24323.85,448.0,3419.3,23520.07,0.96696,clean,0,25
2024-07-08,24320.55,300.7,3484.3,23583.45,0.96969,clean,0,22
2024-07-09,24433.2,492.3,3515.0,23687.63,0.96949,clean,0,21
2024-07-10,24324.45,677.7,4095.7,23930.3,0.9838,clean,0,25
2024-07-11,24315.95,390.0,10256.7,23958.53,0.9853,clean,0,23
2024-07-12,24502.15,600.4,10695.7,23757.13,0.96959,clean,0,25
2024-07-15,24586.7,651.7,4822.3,23872.1,0.97094,clean,0,24
2024-07-16,24613.0,643.7,5196.0,23683.53,0.96224,clean,0,24
2024-07-18,24800.85,963.1,5641.0,23895.42,0.96349,clean,0,29
2024-07-19,24530.9,1345.1,6150.7,24196.64,0.98637,clean,0,29
2024-07-22,24509.25,799.2,6507.3,23583.6,0.96223,clean,0,28
2024-07-23,24479.05,1227.1,6866.7,23901.31,0.9764,clean,0,27
2024-07-24,24413.5,859.7,7150.7,23570.35,0.96546,clean,0,26
2024-07-25,24406.1,1191.5,7487.3,23757.67,0.97343,clean,0,28
2024-07-26,24834.85,1877.8,7906.7,23896.38,0.96221,clean,0,28
2024-07-29,24836.1,1771.2,8645.0,24110.72,0.97079,clean,0,30
2024-07-30,24857.3,890.4,22996.7,23981.99,0.96479,clean,0,29
2024-07-31,24951.15,1049.1,9487.7,24640.49,0.98755,clean,0,30
2024-08-01,25010.9,1088.9,9893.7,24627.22,0.98466,clean,0,29
2024-08-02,24717.7,1265.1,10437.7,24085.43,0.97442,clean,0,29
2024-08-05,24055.6,4098.6,10941.0,23895.76,0.99336,clean,0,31
2024-08-06,23992.55,2470.2,11442.0,24310.82,1.01327,clean,0,34
2024-08-07,24297.5,2004.9,11846.3,23750.19,0.97747,clean,0,31
2024-08-08,24117.0,1380.3,12416.7,24036.99,0.99668,clean,0,33
2024-08-09,24367.5,1532.5,12660.0,23850.87,0.9788,clean,0,28
2024-08-12,24347.0,1739.3,13557.3,23764.65,0.97608,clean,0,32
2024-08-13,24139.0,2301.5,20298.3,23749.02,0.98384,clean,0,31
2024-08-14,24143.75,1675.5,14712.3,23914.74,0.99051,clean,0,27
2024-08-16,24541.15,2862.9,15553.0,24027.86,0.97908,clean,0,28
2024-08-19,24572.65,1509.8,16189.0,24267.21,0.98757,clean,0,33
2024-08-20,24698.85,2408.9,17151.0,24208.45,0.98014,clean,0,31
2024-08-21,24770.2,2103.8,18046.7,24013.58,0.96945,clean,0,33
2024-08-22,24811.5,1819.2,18538.0,24107.03,0.97161,clean,0,32
2024-08-23,24823.15,1396.5,18918.7,24323.04,0.97985,clean,0,30
2024-08-26,25010.6,2920.2,19851.3,24509.83,0.97998,clean,0,30
2024-08-27,25017.75,1793.5,20545.7,24402.65,0.97541,clean,0,31
2024-08-28,25052.35,2321.8,21475.3,24502.75,0.97806,clean,0,33
2024-08-29,25151.95,2472.6,22797.0,24537.06,0.97555,clean,0,38
2024-08-30,25235.9,3517.6,24240.3,24761.68,0.98121,clean,0,37
2024-09-02,25278.7,3131.9,25568.3,24427.1,0.96631,clean,0,34
2024-09-03,25279.85,2623.2,26942.0,24409.89,0.96559,clean,0,34
2024-09-04,25198.7,2442.9,27551.0,23948.12,0.95037,clean,0,34
2024-09-05,25145.1,2161.2,27952.7,25123.92,0.99916,clean,0,32
2024-09-06,24852.15,4435.9,28918.0,24550.11,0.98785,clean,0,35
2024-09-09,24936.4,3151.9,29435.7,24233.79,0.97182,clean,0,31
2024-09-10,25041.1,2510.9,30445.0,24589.39,0.98196,clean,0,34
2024-09-11,24918.45,3256.9,31227.3,24536.28,0.98466,clean,0,34
2024-09-12,25388.9,4889.3,32887.0,25125.89,0.98964,clean,0,37
2024-09-13,25356.5,3254.9,34151.7,25004.31,0.98611,clean,0,33
2024-09-16,25383.75,3861.9,35686.7,24518.37,0.96591,clean,0,37
2024-09-17,25418.55,2506.2,36830.7,24779.59,0.97486,clean,0,37
2024-09-18,25377.55,3858.2,37839.0,24646.12,0.97118,clean,0,37
2024-09-19,25415.8,6218.7,39477.0,25204.35,0.99168,clean,0,37
2024-09-20,25790.95,9659.2,41988.7,25615.15,0.99318,clean,0,36
2024-09-23,25939.05,8871.7,44398.7,25647.08,0.98874,clean,0,39
2024-09-24,25940.4,7114.3,46421.7,25884.13,0.99783,clean,0,37
2024-09-25,26004.15,6968.3,47289.0,25411.23,0.9772,clean,0,38
2024-09-26,26216.05,11892.7,49847.3,25586.42,0.97598,clean,0,42
2024-09-27,26178.95,11548.5,52928.7,25868.61,0.98815,clean,0,44
2024-09-30,25810.85,9757.5,54393.7,25883.89,1.00283,clean,0,38
2024-10-01,25796.9,6729.4,56152.7,25950.81,1.00597,clean,0,40
2024-10-03,25250.1,17418.9,59052.3,25827.79,1.02288,clean,0,49
2024-10-04,25014.6,20029.9,63113.0,25693.13,1.02713,clean,0,50
2024-10-07,24795.75,14725.1,64869.0,25302.3,1.02043,clean,0,46
2024-10-08,25013.15,10880.9,65952.7,25543.91,1.02122,clean,0,46
2024-10-09,24981.95,9804.7,67331.7,25350.75,1.01476,clean,0,45
2024-10-10,24998.45,5972.3,68718.7,25305.14,1.01227,clean,0,41
2024-10-11,24964.25,7051.5,70868.3,25177.28,1.00853,clean,0,46
2024-10-14,25127.95,6122.5,77967.0,25155.71,1.0011,clean,0,44
2024-10-15,25057.35,8153.9,80432.3,25375.74,1.01271,clean,0,46
2024-10-16,24971.3,7149.9,76363.7,25117.77,1.00587,clean,0,46
2024-10-17,24749.85,12490.5,78057.7,25436.03,1.02772,clean,0,47
2024-10-18,24854.05,14325.0,80006.3,25404.64,1.02215,clean,0,49
2024-10-21,24781.1,10171.1,81430.7,25220.08,1.01771,clean,0,44
2024-10-22,24472.1,14161.1,83010.0,24911.04,1.01794,clean,0,48
2024-10-23,24435.5,14369.6,85410.7,24899.56,1.01899,clean,0,49
2024-10-24,24399.4,15404.0,90017.0,24639.71,1.00985,clean,0,50
2024-10-25,24180.8,26538.6,92945.0,24574.67,1.01629,clean,0,54
2024-10-28,24339.15,18739.3,94781.3,24500.64,1.00663,clean,0,52
2024-10-29,24466.85,14462.3,96770.3,25070.78,1.02468,clean,0,50
2024-10-30,24340.85,10640.3,98283.3,24734.69,1.01618,clean,0,53
2024-10-31,24205.35,10558.9,99837.3,24740.57,1.02211,clean,0,52
2024-11-01,24304.35,2428.3,100226.0,24488.15,1.00756,clean,0,61
2024-11-04,23995.35,46394.0,113273.0,24079.7,1.00352,clean,0,90
2024-11-05,24213.3,27551.4,116982.0,24532.31,1.01318,clean,0,126
2024-11-06,24484.05,30198.6,121174.7,24611.15,1.00519,clean,0,109
2024-11-07,24199.35,26374.9,125665.7,24515.39,1.01306,clean,0,103
2024-11-08,24148.2,24646.8,132105.7,24594.28,1.01847,clean,0,104
2024-11-11,24141.3,35316.1,140786.0,24676.37,1.02216,clean,0,112
2024-11-12,23883.45,36747.3,148455.0,24582.7,1.02928,clean,0,134
2024-11-13,23559.05,82641.7,164023.3,24281.05,1.03065,clean,0,161
2024-11-14,23532.7,57099.6,176022.3,24119.79,1.02495,clean,0,175
2024-11-18,23453.8,78849.6,189950.0,24209.51,1.03222,clean,0,186
2024-11-19,23518.5,95113.6,212941.3,24015.43,1.02113,clean,0,160
2024-11-21,23349.9,81072.6,226751.7,24090.11,1.0317,clean,0,164
2024-11-22,23907.25,119378.5,246396.0,24066.27,1.00665,clean,0,183
2024-11-25,24221.9,159317.7,268358.7,24209.51,0.99949,clean,0,193
2024-11-26,24194.5,68505.0,280000.3,24159.31,0.99855,clean,0,186
2024-11-27,24274.9,69954.6,287923.0,24076.64,0.99183,clean,0,194
2024-11-28,23914.15,179879.3,317219.7,24390.18,1.01991,clean,0,204
2024-11-29,24131.1,156208.2,337424.3,24274.57,1.00595,clean,0,238
2024-12-02,24276.05,146559.8,368898.0,24188.17,0.99638,clean,0,247
2024-12-03,24457.15,153678.4,379267.7,24259.4,0.99191,clean,0,272
2024-12-04,24467.45,220771.1,395737.7,24276.7,0.9922,clean,0,276
2024-12-05,24708.4,364534.2,412124.7,24481.98,0.99084,clean,0,315
2024-12-06,24677.8,215913.2,427569.7,24569.12,0.9956,clean,0,317
2024-12-09,24619.0,148619.8,437265.7,24562.84,0.99772,clean,0,343
2024-12-10,24610.05,140127.0,452114.7,24587.15,0.99907,clean,0,336
2024-12-11,24641.8,172548.0,478244.3,24544.96,0.99607,clean,0,337
2024-12-12,24548.7,166300.4,491586.0,24634.53,1.0035,clean,0,347
2024-12-13,24768.3,800864.2,555892.7,24555.18,0.9914,clean,0,433
2024-12-16,24668.25,377145.3,612701.0,24680.86,1.00051,clean,0,448
2024-12-17,24336.0,543901.2,663974.7,24583.98,1.01019,clean,0,538
2024-12-18,24198.85,672691.8,741934.7,24429.57,1.00953,clean,0,483
2024-12-19,23951.7,967323.2,846327.7,24286.84,1.01399,clean,0,538
2024-12-20,23587.5,2275478.5,1066810.3,24033.2,1.0189,clean,0,605
2024-12-23,23753.45,2801085.3,1312147.3,23945.58,1.00809,clean,0,686
2024-12-24,23727.65,3210896.6,1762753.7,23931.69,1.0086,clean,0,705
2024-12-26,23750.2,7616899.9,3046046.7,23923.74,1.00731,clean,0,744
2024-12-27,23813.4,28335413.4,4210104.7,23926.49,1.00475,clean,0,783
2024-12-30,23644.9,49141053.3,5057304.7,23829.94,1.00783,clean,0,845
2024-12-31,23644.8,54725387.7,6720887.7,23637.87,0.99971,clean,0,856
2025-01-01,23742.9,79352808.1,7387627.3,23721.06,0.99908,clean,0,869
